ts,renewable_percent,renewable_mw,non_renewable_mw,total_mw
2026-03-27T00:00:00+01:00,32.077192892292274,24966.0,52865.0,77831.0
2026-03-27T00:15:00+01:00,31.140010266805312,23658.0,52315.0,75973.0
2026-03-27T00:30:00+01:00,30.90828569127949,23031.0,51483.0,74514.0
2026-03-27T00:45:00+01:00,30.5420596360865,22442.0,51037.0,73479.0
2026-03-27T01:00:00+01:00,30.198353241968963,21969.0,50780.0,72749.0
2026-03-27T01:15:00+01:00,29.87141989956404,21652.0,50832.0,72484.0
2026-03-27T01:30:00+01:00,29.733770818623583,21477.0,50754.0,72231.0
2026-03-27T01:45:00+01:00,30.156941313966108,21675.0,50199.0,71874.0
2026-03-27T02:00:00+01:00,29.80177045776574,21243.0,50038.0,71281.0
2026-03-27T02:15:00+01:00,29.62341223210788,21176.0,50308.0,71484.0
2026-03-27T02:30:00+01:00,29.29676551376198,20905.0,50451.0,71356.0
2026-03-27T02:45:00+01:00,29.14631407557128,20765.0,50479.0,71244.0
2026-03-27T03:00:00+01:00,29.141018073474434,20735.0,50419.0,71154.0
2026-03-27T03:15:00+01:00,28.617669188943623,20158.0,50281.0,70439.0
2026-03-27T03:30:00+01:00,28.09138819880236,19562.0,50075.0,69637.0
2026-03-27T03:45:00+01:00,28.658805456381664,20148.0,50155.0,70303.0
2026-03-27T04:00:00+01:00,28.12228195000927,19723.0,50410.0,70133.0
2026-03-27T04:15:00+01:00,28.563157523123632,20227.0,50588.0,70815.0
2026-03-27T04:30:00+01:00,28.770050468840058,20465.0,50668.0,71133.0
2026-03-27T04:45:00+01:00,29.04718629849703,20776.0,50749.0,71525.0
2026-03-27T05:00:00+01:00,29.609277923512355,21446.0,50984.0,72430.0
2026-03-27T05:15:00+01:00,29.507769890645985,21533.0,51441.0,72974.0
2026-03-27T05:30:00+01:00,29.664462272333044,21890.0,51902.0,73792.0
2026-03-27T05:45:00+01:00,29.311550356326478,21799.0,52571.0,74370.0
2026-03-27T06:00:00+01:00,29.15099337748344,22009.0,53491.0,75500.0
2026-03-27T06:15:00+01:00,29.334505471435694,22357.0,53857.0,76214.0
2026-03-27T06:30:00+01:00,29.819820990140165,22955.0,54024.0,76979.0
2026-03-27T06:45:00+01:00,31.147106687355713,24690.0,54579.0,79269.0
2026-03-27T07:00:00+01:00,31.542937048967463,25264.0,54830.0,80094.0
