,year,Geo thermie (TJ),Warmth (TJ),Solar heat (TJ),Reak. heat (TJ),District heating (TJ),Electricity (TJ),Total (TJ)
,1990,0,335,488,0,1.841,7.111,31.535
,1991,0,375,546,0,2.183,7.541,35.002
,1992,0,416,606,0,2.183,7.572,33.501
,1993,0,465,676,0,2.456,7.807,34.571
,1994,0,519,755,0,2.388,7.699,32.995
,1995,0,578,841,0,2.695,8.064,35.507
,1996,0,638,927,0,3.117,8.421,38.594
,1997,0,696,1.013,0,3.046,8.208,35.813
,1998,0,760,1.107,0,3.112,8.238,36.676
,1999,0,795,1.152,0,3.068,8.683,37.574
,2000,0,834,1.218,0,2.859,8.899,36.740
,2001,0,847,1.237,0,2.955,9.718,38.852
,2002,0,870,1.242,0,3.123,9.926,37.653
,2003,0,961,1.436,0,3.277,10.351,39.377
,2004,0,1.024,1.494,0,3.376,10.447,39.189
,2005,0,1.062,1.417,0,3.804,9.773,38.311
,2006,0,1.202,2.067,0,3.103,10.533,41.757
,2007,0,1.385,1.881,0,3.292,10.808,40.123
,2008,0,1.390,1.851,0,3.480,11.082,38.540
,2009,0,1.581,2.028,0,3.643,11.008,39.252
,2010,0,1.725,2.223,0,3.830,10.933,39.401
,2011,0,1.921,2.264,0,3.927,10.769,39.910
,2012,0,2.060,2.365,0,4.188,10.605,39.427
,2013,0,1.940,2.321,0,4.062,10.226,38.288
,2014,0,2.296,2.567,0,4.686,9.846,39.901
,2015,0,2.638,2.458,0,4.737,10.077,39.356
,2016,0,2.799,2.535,0,4.877,10.567,39.539
,2017,0,2.540,2.084,0,4.559,10.504,38.307
,2018,0,2.910,1.899,0,4.346,10.485,36.729
,2019,0,2.953,1.930,0,4.185,10.829,37.532
,2020,0,4.394,1.880,0,4.643,11.409,40.236
,2021,0,3.794,1.577,0,6.152,11.728,41.682
,2022,0,3.771,1.501,0,5.321,11.609,37.815
,2023,0,4.012,1.463,0,5.042,11.720,36.385
