year,Fossils f. (TJ),Fossils fl. (TJ),Fossils gf. (TJ),Bb. Fall- offs (TJ),Firewood (TJ),Biogenes f. (TJ),Biogene fl. (TJ),Biogenic gf. (TJ)
1990,24.382,62.232,29.349,0,51.676,617,0,0
1991,26.646,68.306,34.704,0,57.429,782,0,0
1992,22.963,62.973,33.651,0,54.192,835,0,0
1993,19.034,64.063,36.800,0,55.148,1.014,0,0
1994,16.954,59.857,35.058,0,51.057,981,0,0
1995,16.068,65.464,38.050,0,55.042,1.116,0,0
1996,15.232,72.680,41.634,0,60.397,1.263,0,0
1997,11.507,58.946,42.717,0,55.852,1.671,0,0
1998,10.103,61.761,45.099,0,54.126,1.996,0,0
1999,9.259,63.349,45.409,0,53.805,3.250,0,0
2000,8.350,62.893,42.004,0,49.772,3.592,0,0
2001,7.672,61.958,46.853,0,51.924,4.733,0,0
2002,6.154,59.756,44.400,0,48.430,4.812,0,0
2003,5.093,59.823,47.266,0,46.770,5.547,0,0
2004,4.872,57.546,46.495,0,44.815,5.397,0,0
2005,3.582,55.561,56.749,0,48.277,4.812,0,0
2006,3.378,52.990,54.089,0,49.153,4.984,0,0
2007,2.921,46.039,49.513,0,48.654,6.684,0,0
2008,3.039,47.847,51.390,0,50.428,7.111,0,3
2009,2.142,44.470,52.330,0,51.873,7.472,0,6
2010,2.410,50.061,57.727,0,58.726,8.779,0,5
2011,1.558,42.681,50.092,0,54.131,9.490,0,18
2012,1.684,39.270,51.253,0,56.967,10.491,0,21
2013,1.251,42.220,52.222,0,58.166,11.704,0,36
2014,1.022,36.489,44.451,0,49.532,10.280,0,52
2015,828,38.539,49.457,0,51.914,12.648,0,80
2016,818,38.419,55.200,0,53.780,13.404,0,125
2017,904,38.988,53.936,0,53.816,13.714,0,206
2018,776,34.681,49.286,0,49.046,13.109,0,220
2019,791,34.923,52.136,0,49.663,13.809,0,189
2020,527,35.777,52.557,0,49.752,13.992,0,176
2021,398,37.025,57.759,0,58.957,19.879,0,204
2022,337,31.734,48.148,0,47.044,19.385,0,208
2023,298,25.746,43.707,0,45.668,18.485,0,204
